,nbti,like,think,people,one,know,really,would,thing,time,get,link,feel,type,make,much,well,say,friend,love,way,want,good,see,something,also,lot,go,even,always,life,someone,could,never,though,year,find,thought,need,infp,actually,extraverted
0,INFJ,4,1,1,5,0,1,1,6,6,1,24,0,3,0,1,2,0,1,0,2,1,3,1,2,0,0,5,1,1,3,1,2,0,1,1,0,1,0,0,0,introverted
1,ENTP,14,2,2,12,10,5,4,7,5,4,9,0,0,4,1,1,2,6,1,6,4,1,4,0,3,0,6,1,2,1,1,0,4,3,1,2,2,2,3,0,extraverted
2,INTP,4,5,6,11,2,2,2,1,3,5,6,3,1,2,2,2,2,2,1,6,1,7,3,0,0,0,12,2,3,1,2,3,2,2,5,2,1,0,0,2,introverted
3,INTJ,7,4,4,8,6,1,4,10,2,3,2,2,13,5,4,1,11,1,0,2,3,2,7,1,4,3,6,3,0,3,0,2,1,5,0,1,3,3,2,2,introverted
4,ENTJ,5,8,10,6,4,4,5,12,5,4,6,0,0,0,1,1,3,0,0,2,5,7,0,1,1,0,14,2,1,1,0,0,3,3,1,0,3,2,1,1,extraverted
5,INTJ,7,11,7,17,4,1,9,9,5,4,1,2,6,1,1,2,6,1,1,4,3,2,9,0,0,4,22,6,0,1,4,5,2,9,2,2,2,4,7,4,introverted
6,INFJ,7,10,11,17,5,2,1,5,8,4,2,7,3,2,2,3,5,9,6,5,1,7,4,0,7,2,12,2,2,1,3,0,3,6,2,0,5,2,0,2,introverted
7,INTJ,13,10,3,6,3,0,13,17,5,4,1,8,4,2,1,2,3,4,1,3,5,1,7,3,0,1,7,2,1,2,1,1,0,12,0,0,6,1,0,1,introverted
8,INFJ,2,3,1,5,2,0,0,8,4,2,23,9,0,3,2,0,1,0,3,6,0,3,2,0,0,2,10,1,2,5,0,2,0,3,3,2,3,0,0,0,introverted
9,INTP,13,2,2,8,0,3,3,9,14,2,7,9,1,4,4,1,1,0,4,5,3,2,2,0,0,2,14,1,2,3,1,0,4,5,4,2,2,2,0,4,introverted
10,INFJ,16,6,11,10,8,1,0,17,4,10,1,0,3,5,4,1,5,0,0,3,3,1,0,4,3,1,12,6,2,7,0,1,1,5,2,1,2,2,0,3,introverted
11,ENFJ,7,7,9,5,2,9,0,6,5,11,3,2,2,3,6,2,2,5,1,4,3,2,3,2,2,2,5,0,0,1,2,0,4,3,1,0,1,0,1,4,extraverted
12,INFJ,14,4,11,5,4,0,2,4,3,3,0,7,6,5,5,0,2,3,2,6,4,3,7,1,0,3,14,1,3,1,0,3,7,4,4,2,4,3,5,0,introverted
13,INTJ,10,19,6,14,7,4,10,8,1,7,0,3,1,3,5,3,5,5,4,4,2,3,8,2,2,7,10,2,2,2,2,2,0,6,1,4,2,0,0,3,introverted
14,INTP,2,4,6,7,0,3,2,6,5,4,3,1,0,2,4,0,5,0,0,3,0,1,2,3,0,1,10,5,0,3,1,2,3,3,1,0,0,0,0,4,introverted
15,INTP,12,14,2,9,5,3,9,12,7,4,1,2,4,4,4,4,10,4,3,4,2,2,4,2,0,3,6,4,1,1,1,0,1,4,0,3,0,0,0,1,introverted
16,INFJ,4,7,5,10,5,4,4,5,11,9,4,6,3,2,3,0,1,5,2,9,2,2,5,0,2,2,11,0,4,8,3,2,2,2,5,2,1,3,1,1,introverted
17,INFP,9,14,7,19,8,4,3,18,5,4,0,7,2,3,2,4,7,4,10,4,7,1,5,5,1,3,11,2,0,2,8,4,3,5,2,1,3,3,1,2,introverted
18,INFJ,14,14,9,11,5,4,1,6,11,6,1,8,3,4,6,5,4,3,7,6,0,5,6,2,0,2,19,2,2,2,2,0,2,6,4,2,3,3,0,2,introverted
19,INFP,12,4,3,9,3,0,6,4,2,0,0,4,6,4,5,2,5,0,3,4,2,3,0,2,2,3,6,1,2,4,0,1,1,4,0,1,2,0,11,0,introverted
20,INTP,4,5,10,6,0,2,2,4,4,4,3,2,12,0,1,3,1,1,0,2,2,1,4,1,0,2,6,1,1,2,0,0,0,4,1,0,4,1,0,3,introverted
21,INFJ,6,16,8,11,5,3,5,2,3,1,14,2,0,1,2,0,2,1,6,11,1,1,6,1,6,2,3,4,4,6,2,0,2,1,0,6,0,2,3,1,introverted
22,ENTJ,8,2,6,13,7,2,2,14,3,4,5,1,1,2,3,2,5,2,6,9,2,1,2,2,4,3,14,1,2,5,3,3,2,2,0,0,1,2,3,4,extraverted
23,INFP,12,5,5,7,3,4,3,6,3,1,0,4,5,2,2,2,4,2,2,1,5,2,7,1,2,4,5,0,0,1,0,0,0,2,0,0,1,1,3,1,introverted
24,ENTJ,9,5,3,10,8,1,5,7,3,2,5,0,3,4,0,3,1,0,1,6,2,1,10,1,0,2,8,0,1,0,3,0,2,3,3,1,0,2,0,1,extraverted
25,INFP,15,7,5,7,6,1,9,5,2,9,3,0,4,3,1,7,4,1,1,5,3,5,6,1,3,3,9,1,1,4,2,1,1,3,0,2,0,3,1,1,introverted
26,ENFP,12,7,3,25,3,3,16,8,9,13,0,15,1,5,4,3,8,0,3,9,11,1,3,1,7,2,14,1,3,2,3,6,0,8,6,1,3,1,0,1,extraverted
27,ISFP,9,2,2,6,3,4,3,2,1,1,1,1,1,0,4,4,2,1,4,4,2,3,3,0,2,1,13,2,0,2,0,0,0,2,1,0,1,0,4,0,introverted
28,INFP,21,16,14,24,6,3,15,22,9,4,0,11,0,2,5,16,3,2,0,10,6,1,8,9,3,7,8,5,4,3,2,0,0,1,1,2,1,0,17,1,introverted
